Occupation,standard,idfobject,Name,objectfield,Value,Comment
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_3,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.160048,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_3,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.240072,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_3,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_3,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_3,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_3,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_4,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0037989,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_4,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0113967,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_4,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.037989,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_4,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0569835,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_4,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_4,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_4,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_4,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_5,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0015322,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_5,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0061288,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_5,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.015322,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_5,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.030644,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_5,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_5,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_5,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_5,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_6,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0017843,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_6,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0071372,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_6,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.017843,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_6,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.035686,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_6,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_6,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_6,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_6,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_7,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0002438,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_7,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0009752,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_7,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.002438,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_7,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.004876,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_7,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_7,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_7,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_7,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_8,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0033083,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_8,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0132332,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_8,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.033083,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_8,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.066166,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_8,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_8,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_8,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_8,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_9,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0003658,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_9,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0014632,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_9,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.003658,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_9,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.007316,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_9,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_9,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_9,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_9,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_10,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0004267,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_10,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0017068,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_10,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.004267,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_10,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.008534,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_10,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_10,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_10,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_10,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_11,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.15322,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_11,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.30644,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_11,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.45966,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_11,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.7661,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_11,Air_Mass_Flow_Exponent,0.75,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_11,Air_Mass_Flow_Exponent,0.75,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_11,Air_Mass_Flow_Exponent,0.75,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_11,Air_Mass_Flow_Exponent,0.75,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_12,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.01829,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_12,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.03658,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_12,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.05487,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_12,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.09145,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_12,Air_Mass_Flow_Exponent,0.75,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_12,Air_Mass_Flow_Exponent,0.75,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_12,Air_Mass_Flow_Exponent,0.75,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_12,Air_Mass_Flow_Exponent,0.75,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_13,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.02438,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_13,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.04876,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_13,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.07314,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_13,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.1219,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_13,Air_Mass_Flow_Exponent,0.75,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_13,Air_Mass_Flow_Exponent,0.75,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_13,Air_Mass_Flow_Exponent,0.75,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_13,Air_Mass_Flow_Exponent,0.75,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_14,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.33083,
